staff_name,publication,publication_year
Nicholas LAWSON,The vortex structure behind an Ahmed reference model in the presence of a moving ground plane,2007
Nicholas LAWSON,Application of digital particle image velocimetry to insect aerodynamics: measurement of the leading-edge vortex and near wake of a Hawkmoth,2006
Nicholas LAWSON,Self-sustained oscillation of a submerged jet in a thin rectangular cavity,2001
Nicholas LAWSON,Measurement of shock wave unsteadiness using a high-speed schlieren system and digital image processing,2008
Nicholas LAWSON,Experimental and numerical comparisons of the break-up of a large bubble,1999
Nicholas LAWSON,Development and application of optical fibre strain and pressure sensors for in-flight measurements,2016
Nicholas LAWSON,Advanced in-flight measurement techniques,2013
Nicholas LAWSON,Development of piezoelectric fans for flapping wing application,2009
Nicholas LAWSON,Experimental and computational investigation of an ‘open’transonic cavity flow,2009
Nicholas LAWSON,Digital particle image velocimetry measurements of the downwash distribution of a desert locust Schistocerca gregaria,2006
Nicholas LAWSON,Coupled piezoelectric fans with two degree of freedom motion for the application of flapping wing micro aerial vehicles,2008
Nicholas LAWSON,Application of optical measurement techniques to supersonic and hypersonic aerospace flows,2009
Nicholas LAWSON,An experimental and numerical investigation of under-expanded turbulent jets,2004
Nicholas LAWSON,An investigation of the flow characteristics in the bootdeck region of a scale model notchback saloon vehicle,2007
Nicholas LAWSON,High-speed photogrammetry system for measuring the kinematics of insect wings,2006
Nicholas LAWSON,Oscillatory flow in a physical model of a thin slab casting mould with a bifurcated submerged entry nozzle,2002
Nicholas LAWSON,Non-intrusive flow diagnostics for unsteady inlet flow distortion measurements in novel aircraft architectures,2022
Nicholas LAWSON,Crossflow characteristics of an oscillating jet in a thin slab casting mould,1999
Nicholas LAWSON,A CFD and experimental study of an Ahmed reference model,2004
Nicholas LAWSON,Hypersonic interference heating in the vicinity of surface protuberances,2010
Nicholas LAWSON,Pressure measurements on aircraft wing using phase-shifted fibre Bragg grating sensors,2009
Nicholas LAWSON,The application of laser measurement techniques to aerospace flows,2004
Nicholas LAWSON,Unsteady Detached-Eddy Simulation (DES) of the Jetstream 31 aircraft in One Engine Inoperative (OEI) condition with propeller modelling,2019
Nicholas LAWSON,Jetstream 31 national flying laboratory: Lift and drag measurement and modelling,2017
Nicholas LAWSON,Effect of wing planform shape on the flow structures of an insect-like flapping wing in hover,2010
Nicholas LAWSON,Control of a submerged jet in a thin rectangular cavity,2005
Nicholas LAWSON,3D particle image velocimetry of the flow field around a sphere sedimenting near a wall: Part 1. Effects of Weissenberg number,2007
Nicholas LAWSON,Evaluation and correction of perspective errors in endoscopic PIV,2004
Nicholas LAWSON,Delta wing with leading edge extension and propeller propulsion for fixed wing MAV,2004
Nicholas LAWSON,An experimental and numerical investigation of an open transonic cavity,2003
Nicholas LAWSON,The measurement of the flow around a sphere settling in a rectangular box using 3-dimensional particle image velocimetry,2001
Nicholas LAWSON,3-D particle image velocimetry of the flow field around a sphere sedimenting near a wall: Part 2. Effects of distance from the wall,2005
Nicholas LAWSON,Three-dimensional particle image velocimetry: a low-cost 35 mm angular stereoscopic system for liquid flows,1999
Nicholas LAWSON,Unsteady aerodynamics analysis and modelling of a Slingsby Firefly aircraft: Detached-Eddy Simulation model and flight test validation,2020
Nicholas LAWSON,Numerical predictions and experiments on supersonic jet mixing from castellated nozzles,2002
Nicholas LAWSON,Particle image velocimetry: image labeling using encoding of the point-spread function by application of a polarization-sensitive pupil mask,1995
Nicholas LAWSON,On the development of flight-test equipment in relation to the aircraft spin,2018
Nicholas LAWSON,CFD simulation of flow around angle of attack and sideslip angle vanes on a BAe Jetstream 3102–Part 1,2017
Nicholas LAWSON,A generalised optimisation method for double pulsed particle image velocimetry,1997
Nicholas LAWSON,The application of particle image velocimetry to high speed flows,1995
Nicholas LAWSON,Fibre-optic measurement of strain and shape on a helicopter rotor blade during a ground run: 1. Measurement of strain,2022
Nicholas LAWSON,In-flight spatial disorientation induces roll reversal errors when using the attitude indicator,2019
Nicholas LAWSON,Schlieren visualization of high-speed flows using a continuous LED light source,2009
Nicholas LAWSON,An investigation of a low Strouhal number oscillatory jet submerged in a thin rectangular cavity,2000
Nicholas LAWSON,Numerical prediction of submerged oscillating jet flow,1999
Nicholas LAWSON,Application of particle image velocimetry to a small-scale de Laval nozzle,1999
Nicholas LAWSON,Particle image velocimetry: image labeling by use of adaptive optics to modify the point-spread function,1994
Nicholas LAWSON,DES of a Slingsby Firefly aircraft: Unsteady flow feature extraction using POD and HODMD,2022
Nicholas LAWSON,Aerodynamic and performance characteristics of a passive leading edge Kruger flap at low Reynolds numbers,2012
Nicholas LAWSON,Experimental study of unsteadiness in supersonic shock-wave/turbulent boundary-layer interactions with separation,2010
Nicholas LAWSON,"An experimental and computational investigation of a 3D, l/h= 5 transonic cavity flow",2007
Nicholas LAWSON,Comparisons between CFD and experimental results for a simplified car model in wall proximity,2005
Nicholas LAWSON,Application of particle image velocimetry to transonic cavity flows,2005
Nicholas LAWSON,"Low-cost design of 35 mm drum camera for high-resolution, high-speed image analysis",1998
Nicholas LAWSON,Fibre-optic measurement of strain and shape on a helicopter rotor blade during a ground run: 2. Measurement of shape,2022
Nicholas LAWSON,Development of particle image velocimetry for in-flight flow measurement,2013
Nicholas LAWSON,Force and moment measurements for a generic car model in proximity to a side wall,2012
Nicholas LAWSON,Hypersonic interference heating: a semi-empirical hot spot predictive approach,2009
Nicholas LAWSON,Comparison of flight test data with a computational fluid dynamics model of a Scottish aviation bulldog aircraft,2013
Nicholas LAWSON,The application of piezoelectric actuator and compliant structures to achieve flapping wing motion for a MAV,2007
Nicholas LAWSON,Particle image velocimetry and laser Doppler anemometry experimental studies of a compressible short take-off and vertical landing ground vortex flow,2002
Nicholas LAWSON,Regressor time-shifting to identify longitudinal stability and control derivatives of the Jetstream 3102,2017
Nicholas LAWSON,CFD simulation of flow around angle of attack and sideslip angle vanes on a BAe Jetstream 3102–Part 2,2017
Nicholas LAWSON,ALR,2006
Nicholas LAWSON,Measurement of cross-flow characteristics from a transient water model of a thin slab casting mould,1998
Nicholas LAWSON,Aircraft spin analysis-theoretical predictions and comparison to flight test,2017
Nicholas LAWSON,In-flight flow visualisation using Particle Image Velocimetry,2010
Nicholas LAWSON,Volume three-dimensional flow measurements using wavelength multiplexing,2005
Nicholas LAWSON,BLADESENSE–A novel approach for measuring dynamic helicopter rotor blade deformation,2018
Nicholas LAWSON,Forcing boundary-layer transition on an inverted airfoil in ground effect,2017
Nicholas LAWSON,Development of the cranfield university bulldog flight test facility,2017
Nicholas LAWSON,Editorial for the special feature on Advanced In-flight Measurement Techniques AIM2,2017
Nicholas LAWSON,Forcing Boundary-Layer Transition on an Inverted Airfoil in Ground Effect at Varying Incidence,2016
Nicholas LAWSON,"Modelling of a Scottish Aviation Bulldog using reverse engineering, wind tunnel and numerical methods",2014
Nicholas LAWSON,Wind tunnel unsteady pressure measurements using a differential optical fiber Fabry-Perot pressure sensor,2014
Nicholas LAWSON,High-speed close-range photogrammetry for dynamic shape measurement,2005
Nicholas LAWSON,Combined stereoscopic particle image velocimetry and line integral convolution methods: Application to a sphere sedimenting near a wall in a non-newtonian fluid,2005
Nicholas LAWSON,On perspective errors in endoscopic PIV,2004
Nicholas LAWSON,Dispersion of neutrally buoyant solids falling vertically into stationary liquid and horizontal channel flow,2000
Nicholas LAWSON,On the near-wake of a ground-effect diffuser with passive flow control,2019
Nicholas LAWSON,Transient and time-averaged characteristics of a compressible ground vortex flow,2014
Nicholas LAWSON,Vectoring a self-sustained oscillatory confined jet flow by secondary cross-flow injection,2004
Nicholas LAWSON,Stereoscopic Particle Image Velocimetry: Application to a non-Newtonian Flow Field Generated by a Sedimenting Sphere,2004
Nicholas LAWSON,Optical fibre pressure sensing using a frequency modulated laser-based signal processing technique,2023
Nicholas LAWSON,Characterizing Instrumentation Canister Aerodynamics of FAAM BAe-146-301 Atmospheric Research Aircraft,2019
Nicholas LAWSON,CFD and Wind Tunnel Analysis of the Drag on a Human-Powered Vehicle Designed for a Speed Record Attempt,2019
Nicholas LAWSON,2.1-Adaption of Fibre Optic Sensors and Data Processing Systems for Flight Test on a Bulldog Light Aircraft,2016
Nicholas LAWSON,Characterisation of a 3D l/h= 5 Rectangular Cavity Flowfield using Experimental and Numerical Techniques,2007
Nicholas LAWSON,Studies of transonic cavity flows relevant to aircraft stores carriage and release,2004
Nicholas LAWSON,A PIV and CFD investigation of cavity flows in the transonic flow regime,2004
Nicholas LAWSON,Particle image velocimetry: theory and application of image labelling using a polarization-sensitive pupil mask,1995
Nicholas LAWSON,Experimental investigation of pressure fluctuations around protuberances of varying shapes,2023
Nicholas LAWSON,Wake-Tailplane Interaction of a Slingsby Firefly Aircraft,2022
Nicholas LAWSON,The aircraft spin-a mathematical approach and comparison to flight test,2017
Nicholas LAWSON,Undercarriage drag prediction for a fixed undercarriage light aircraft,2017
Nicholas LAWSON,Advanced In-Flight Measurement Techniques,2015
Nicholas LAWSON,"A low-cost, high-magnification imaging system for particle sizing applications",2014
Nicholas LAWSON,Application of non-intrusive optical methods for in-flight flow visualisation,2009
Nicholas LAWSON,Measurement of shock wave unsteadiness using a high-speed schlieren system and digital image processing,2008
Nicholas LAWSON,Control of an oscillatory rectangular cavity jet flow by secondary injection,2006
Nicholas LAWSON,Experimental and numerical modelling of a oscillatory jet thrust vectoring system,2004
Nicholas LAWSON,A Study of the Sedimentation of a Sphere Near a Vertical Wall Using Three-Dimensional PIV,2004
Nicholas LAWSON,Experimental and computational investigation on submerged entry nozzle Jet control,2003
Nicholas LAWSON,Experimental methods in gas injection into liquid systems,1996
Nicholas LAWSON,Remote Flowfield Measurements In-Flight in a Slingsby Light Aircraft by Means of a Miniaturised Wind LIDAR,Unknown
Nicholas LAWSON,Advancements on the use of Filtered Rayleigh Scattering (FRS) with Machine learning methods for flow distortion in Aero-Engine intakes,2024
Nicholas LAWSON,SINATRA-Complex intake flow distortion measurements,2024
Nicholas LAWSON,"History, review and summary of the cavity flow phenomena",2024
Nicholas LAWSON,Dynamic Measurement of Strain and Shape on a Rotating Helicopter Rotor Blade: The Measurement Challenge,2023
Nicholas LAWSON,The use of range-resolved interferometry for multi-parameter sensing in a wind tunnel,2023
Nicholas LAWSON,"Data supporting"" Optical Fibre Pressure Sensing Using a Frequency Modulated Laser-Based Signal Processing Technique""",2023
Nicholas LAWSON,CFD Modelling and flight test of a Slingsby T67 Firefly with flaps,2023
Nicholas LAWSON,Flight testing of the effects of airspeed and aircraft configuration in lateral-directional static stability for a Jetstream 31,2023
Nicholas LAWSON,Flow Visualization and Particle Dispersion Measurements Inside an Ambulance Rear Saloon while Stationary and in Motion,2022
Nicholas LAWSON,Recommended articles,2021
Nicholas LAWSON,"Towards in-flight aero-engine inlet distortion measurements using seeding-free, nonintrusive flow diagnostic methods.",2020
Nicholas LAWSON,The influence of high-speed SPIV data processing parameters on aircraft wing vortex wake assessment,2018
Nicholas LAWSON,7.1-Application of Fibre Optic Range-Resolved Interferometric Vibrometry to a Full-Scale Feathered Propeller in a Wind Tunnel,2018
Nicholas LAWSON,Airborne Measurement–Advanced Instrument Development Methods and Insight,2018
Nicholas LAWSON,Advanced In-Flight Measurement Techniques-An Overview on Modern Optical Measurement Techniques for Flight Testing applied within AIM and AIM²,2015
Nicholas LAWSON,Particle Image Velocimetry (PIV),2013
Nicholas LAWSON,External Transonic Flows,2010
Nicholas LAWSON,High lift flow structures: In-flight PIV feasibility study,2009
Nicholas LAWSON,Coupled Piezoelectric fans with 2dof motion for the application of flapping micro air vehicle,2007
Nicholas LAWSON,Om Prakash Tirumalasetty,2006
Nicholas LAWSON,CONTROL OF AN OSCILLATORY RECTANGULAR CAVITY JET FLOW BY SECONDARY INJECTION (Cavity Flow and Pulsating Flow),2005
Nicholas LAWSON,"Azaiez, J. 73 Dales, C. 143 Debiane, K. 213 Desaubry, C. 143",2005
Nicholas LAWSON,Sur les erreurs de perspective dans PIV endoscopique,2004
Nicholas LAWSON,2004-01-0442 A CFD and Experimental Study of an Ahmed Reference Model,2004
Nicholas LAWSON,A study using PIV and LDA of a compressible STOVL ground vortex flow,2002
Nicholas LAWSON,Introduction to Engineering Thermodynamics,2001
Nicholas LAWSON,Intake Aerodynamics,2000
Nicholas LAWSON,Engines--An Introduction,2000
Nicholas LAWSON,Particle image velocity: Image labelling using dynamic encoding of the point spread function,1993
Nicholas LAWSON,MEASUREMENT OF WING BENDING IN-FLIGHT FROM A T67 SLINGSBY FIREFLY LIGHT AIRCRAFT,Unknown
Nicholas LAWSON,DESIGN OF A WIND TUNNEL MODEL FOR A REUSABLE LAUNCH VEHICLE DURING ITS LANDING BURN,Unknown
Nicholas LAWSON,SURFACE VISUALISATION OF TIME AVERAGED FLOW BEHAVIOUR AROUND RIGID AND FLEXIBLE HEMISPHERES UTILISING UV SENSITIVE OIL,Unknown
Nicholas LAWSON,HOT-WIRE ANEMOMETRY OF THE BOUNDARY LAYER PRIOR TO A CAVITY IN RESPONSE TO VARIED UPSTREAM GEOMETRY,Unknown
Nicholas LAWSON,COMPUTATIONAL FLUID DYNAMICS ANALYSIS OF A DIRECT AIR CAPTURE FILTER SYSTEM,Unknown
Nicholas LAWSON,"Data supporting"" The use of range-resolved interferometry for multi-parameter sensing in a wind tunnel""",Unknown
Nicholas LAWSON,E-MRS Fall Symposium I: Solutions for Critical Raw Materials Under Extreme Conditions,Unknown
Nicholas LAWSON,Pathway to Non-Intrusive In-Flight Flow Diagnostics with Filtered Rayleigh Scattering (Frs),Unknown
Nicholas LAWSON,Application of Fibre Bragg Grating Sensors to a Stalled High Lift Wing,Unknown
Nicholas LAWSON,A Study Using PIV and LDA of a Compressible STOVL Ground Vortex Flow,Unknown
Nicholas LAWSON,"MRA Nabawy, MM ElNomrossy, MM Abdelrahman and GM ElBayoumi",Unknown
Nicholas LAWSON,Contributor Index (Vol. 12),Unknown
Nicholas LAWSON,Application of Particle Image Velocimetry and Laser Doppler Anemometry to a STOVL Ground Vortex Flow,Unknown
Nicholas LAWSON,The Development of Multi-Point Laser Doppler Anemometry (MPLDA): A New Method to Estimate Fluid Flow Statistics,Unknown
Nicholas LAWSON,"The Synergy of CFD and Experiments in Aerodynamics Research at Cranfield University, Shrivenham",Unknown
Nicholas LAWSON,AN UNSTEADY AND TIME-AVERAGED STUDY OF A GROUND VORTEX FLOW,Unknown
Kunming LI,Adversarial noise layer: Regularize neural network by adding noise,2019
Kunming LI,Probabilistic crowd GAN: Multimodal pedestrian trajectory prediction using a graph vehicle-pedestrian attention network,2020
Kunming LI,Learning from synthetic photorealistic raindrop for single image raindrop removal,2019
Kunming LI,Socially aware crowd navigation with multimodal pedestrian trajectory prediction for autonomous vehicles,2020
Kunming LI,Photo-realistic simulation of road scene for data-driven methods in bad weather,2017
Kunming LI,Attentional-GCNN: Adaptive pedestrian trajectory prediction towards generic autonomous vehicle use cases,2021
Kunming LI,Structural edge detection: A dataset and benchmark,2018
Kunming LI,Game theory-based simultaneous prediction and planning for autonomous vehicle navigation in crowded environments,2023
Kunming LI,Knowledge-aware Graph Transformer for Pedestrian Trajectory Prediction,2023
Kunming LI,Crowd Prediction and Autonomous Navigation with Partial Observations,2022
Kunming LI,Towards Collision-Free Probabilistic Pedestrian Motion Prediction for Autonomous Vehicles,2022
Kunming LI,USyd Cassowary Dataset,2024
Qing LI,Biofabrication: Reappraising the definition in an evolving field,2016
Qing LI,Biofabrication: A Guide to Technology and Terminology,2018
Qing LI,On design optimization for structural crashworthiness and its state of the art,2017
Qing LI,Multiobjective optimization for crash safety design of vehicles using stepwise regression model,2008
Qing LI,Crashworthiness design for functionally graded foam-filled thin-walled structures,2010
Qing LI,Design optimization of regular hexagonal thin-walled columns with crashworthiness criteria,2007
Qing LI,Crashing analysis and multiobjective optimization for thin-walled structures with functionally graded thickness,2014
Qing LI,Multiobjective optimization of multi-cell sections for the crashworthiness design,2008
Qing LI,Experimental and numerical study on honeycomb sandwich panels under bending and in-panel compression,2017
Qing LI,Crashworthiness analysis and design of multi-cell hexagonal columns under multiple loading cases,2015
Qing LI,Shape and topology design for heat conduction by evolutionary structural optimization,1999
Qing LI,Dental implant induced bone remodeling and associated algorithms,2009
Qing LI,Crashworthiness design for foam filled thin-wall structures,2009
Qing LI,Lightweight design of carbon twill weave fabric composite body structure for electric vehicle,2013
Qing LI,Crashworthiness design of vehicle by using multiobjective robust optimization,2011
Qing LI,Dynamic crash responses of bio-inspired aluminum honeycomb sandwich structures with CFRP panels,2017
Qing LI,On design of multi-cell tubes under axial and oblique impact loads,2015
Qing LI,Evolutionary topology optimization for temperature reduction of heat conducting fields,2004
Qing LI,On Design of Multi-Cell Thin-Wall Structures for Crashworthiness,2016
Qing LI,Time-dependent reliability analysis through response surface method,2017
Qing LI,Topology optimization of microstructures of cellular materials and composites for macrostructures,2013
Qing LI,"Lightweight hybrid materials and structures for energy absorption, A state-of-the-art review and outlook",2022
Qing LI,Experimental study on crashworthiness of empty/aluminum foam/honeycomb–filled CFRP tubes,2016
Qing LI,On design of multi-functional microstructural materials,2013
Qing LI,Design of bionic-bamboo thin-walled structures for energy absorption,2019
Qing LI,"Energy absorption of metal, composite and metal/composite hybrid structures under oblique crushing loading",2018
Qing LI,Crashworthiness optimization of foam-filled tapered thin-walled structure using multiple surrogate models,2013
Qing LI,Dynamic crashing behaviour of new extrudable multi-cell tubes with functionally graded thickness,2015
Qing LI,Optimization of foam-filled bitubal structures for crashworthiness criteria,2012
Qing LI,Parameterization of criss-cross configurations for multiobjective crashworthiness optimization,2017
Qing LI,Mechanical responses to orthodontic loading: a 3-dimensional finite element multi-tooth model,2009
Qing LI,A simple checkerboard suppression algorithm for evolutionary structural optimization,2001
Qing LI,A variational level set method for the topology optimization of steady-state Navier–Stokes flow,2008
Qing LI,Crashworthiness of vertex based hierarchical honeycombs in out-of-plane impact,2016
Qing LI,On hierarchical honeycombs under out-of-plane crushing,2018
Qing LI,Mandibular bone remodeling induced by dental implant,2010
Qing LI,Microstructure design of biodegradable scaffold and its effect on tissue regeneration,2011
Qing LI,Topological design of structures and composite materials with multiobjectives,2007
Qing LI,Design optimization of functionally graded dental implant for bone remodeling,2009
Qing LI,Multiobjective robust optimization method for drawbead design in sheet metal forming,2010
Qing LI,On Hybrid Cellular Materials Based on Triply Periodic Minimal Surfaces with Extreme Mechanical Properties,2019
Qing LI,Low velocity impact behavior of interlayer hybrid composite laminates with carbon/glass/basalt fibres,2019
Qing LI,Mathematical modeling of degradation for bulk-erosive polymers: applications in tissue engineering scaffolds and drug delivery systems,2011
Qing LI,Design of graded two-phase microstructures for tailored elasticity gradients,2008
Qing LI,High-velocity impact behaviour of aluminium honeycomb sandwich panels with different structural configurations,2018
Qing LI,A two-stage multi-fidelity optimization procedure for honeycomb-type cellular materials,2010
Qing LI,Mechanical properties of hybrid composites reinforced by carbon and basalt fibers,2018
Qing LI,A comparative study on thin-walled structures with functionally graded thickness (FGT) and tapered tubes withstanding oblique impact loading,2015
Qing LI,Modeling for CFRP structures subjected to quasi-static crushing,2018
Qing LI,Crashworthiness optimization of corrugated sandwich panels,2013
Qing LI,Additively manufactured materials and structures: A state-of-the-art review on their mechanical characteristics and energy absorption,2023
Qing LI,Biomechanics of Oral Mucosa,2015
Qing LI,Multiobjective optimization for tapered circular tubes,2011
Qing LI,Experimental investigation of the quasi-static axial crushing behavior of filament-wound CFRP and aluminum/CFRP hybrid tubes,2018
Qing LI,Experimental and numerical studies on indentation and perforation characteristics of honeycomb sandwich panels,2018
Qing LI,On Crushing Characteristics of Different Configurations of Metal-Composites Hybrid Tubes,2017
Qing LI,Crashworthiness design for functionally graded foam-filled bumper beam,2015
Qing LI,Quasi-static axial crushing and transverse bending of double hat shaped CFRP tubes,2014
Qing LI,Parametric analysis and multiobjective optimization for functionally graded foam-filled thin-wall tube under lateral impact,2014
Qing LI,Theoretical prediction and optimization of multi-cell hexagonal tubes under axial crashing,2016
Qing LI,How does negative Poisson’s ratio of foam filler affect crashworthiness,2015
Qing LI,Experimental and Numerical Studies on Multi-Layered Corrugated Sandwich Panels under crushing loading,2015
Qing LI,Experimental and numerical investigation into the crashworthiness of metal-foam-composite hybrid structures,2019
Qing LI,On crashworthiness design of hybrid metal-composite structures,2020
Qing LI,Crushing analysis of foam-filled single and bitubal polygonal thin-walled tubes,2014
Qing LI,Energy Absorption Mechanics and Design Optimization of CFRP/Alumimun Hybrid Structures under Transverse Loading,2019
Qing LI,Low-velocity impact behaviour of sandwich panels with homogeneous and stepwise graded foam cores,2018
Qing LI,A comparative study on multiobjective reliable and robust optimization for crashworthiness design of vehicle structure,2013
Qing LI,On the structural parameters of honeycomb-core sandwich panels against low-velocity impact,2021
Qing LI,Multiobjective topology optimization for finite periodic structures,2010
Qing LI,Comparative study on metal/CFRP hybrid structures under static and dynamic loading,2020
Qing LI,Restoration of non-carious cervical lesions: Part II. Restorative material selection to minimise fracture,2007
Qing LI,A two-stage multi-objective optimisation of vehicle crashworthiness under frontal impact,2008
Qing LI,On Functionally Graded Composite Structures for Crashworthiness,2015
Qing LI,Flexural performance and cost efficiency of carbon/basalt/glass hybrid FRP composite laminates,2019
Qing LI,Multiobjective reliability-based optimization for design of a vehicledoor,2013
Qing LI,On equivalence between stress criterion and stiffness criterion in evolutionary structural optimization,1999
Qing LI,A Location Privacy-Preserving System Based on Query Range Cover-Up or Location-Based Services,2020
Qing LI,On low-velocity impact response of foam-core sandwich panels,2020
Qing LI,Axial and lateral crushing responses of aluminum honeycombs filled with EPP foam,2017
Qing LI,Experimental study on the dynamic responses of foam sandwich panels with different facesheets and core gradients subjected to blast impulse,2020
Qing LI,Level-set based topology optimization for electromagnetic dipole antenna design,2010
Qing LI,Crashworthiness design for foam-filled thin-walled structures with functionally lateral graded thickness sheets,2015
Qing LI,Multiobjective crashworthiness optimization of functionally lateral graded foam-filled tubes,2013
Qing LI,Architectural Design of 3D Printed Scaffolds Controls the Volume and Functionality of Newly Formed Bone,2019
Qing LI,Surface morphology optimization for osseointegration of coated implants,2010
Qing LI,Restoration of non-carious cervical lesions: part I. Modelling of restorative fracture,2007
Qing LI,"Theoretical, numerical, and experimental study of laterally variable thickness (LVT) multi-cell tubes under crashworthiness",2016
Qing LI,Phase field fracture in elasto-plastic solids: Abaqus implementation and case studies,2019
Qing LI,Crashworthiness Analysis and Optimization of Sinusoidal Corrugation Tube,2016
Qing LI,Dynamic response of sandwich panel with hierarchical honeycomb cores subject to blast loading,2019
Qing LI,Engineering pre-vascularized scaffolds for bone regeneration,2015
Qing LI,Topological Configuration Analysis and Design for Foam Filled Multi-cell Tubes,2018
Qing LI,On impact behavior of fiber metal laminate (FML) structures: A state-of-the-art review,2021
Qing LI,Crashworthiness analysis and design optimization for foam-filled aluminum/CFRP hybrid tube against transverse impact,2020
Qing LI,Multiobjective robust design optimization of fatigue life for a truck cab,2015
Qing LI,On stiffness of scaffolds for bone tissue engineering—a numerical study,2010
Qing LI,Displacement minimization of thermoelastic structures by evolutionary thickness design,1999
Qing LI,Computational analysis and optimization of sandwich panels with homogeneous and graded foam cores for blast resistance,2020
Qing LI,A new multi-objective discrete robust optimization algorithm for engineering design,2018
Qing LI,Multi-objective and multi-case reliability-based design optimization for tailor rolled blank structures,2017
Qing LI,Robust optimization of foam-filled thin-walled structure based on sequential Kriging metamodel,2014
Qing LI,On lateral compression of thin-walled circular aluminum /CFRP/GFRP tubes,2020
Qing LI,A periodontal ligament driven remodeling algorithm for orthodontic tooth movement,2014
Qing LI,Evolutionary topology optimization of periodic composites for extremal magnetic permeability and electrical permittivity,2012
Qing LI,Thermoelastic topology optimization for problems with varying temperature fields,2001
Qing LI,On fracture characteristics of adhesive joints with dissimilar materials - An experimental study using digital image correlation (DIC) technique,2018
Qing LI,Design of Transversely-Graded Foam and Wall Thickness Structures for Crashworthiness Criteria,2016
Qing LI,Effects of occlusal inclination and loading on mandibular bone remodeling: a finite element study.,2010
Qing LI,On crashing behaviors of aluminium/CFRP tubes subjected to axial and oblique loading: an experimental study,2018
Qing LI,Tooth eruption results from bone remodelling driven by bite forces sensed by soft tissue dental follicles: a finite element analysis,2013
Qing LI,Crashworthiness Analysis and Optimization of Fourier Varying Section Tubes,2017
Qing LI,Experimental investigation into dynamic axial impact responses of double hat shaped CFRP tubes,2015
Qing LI,Topology optimization for negative permeability metamaterials using level-set algorithm,2011
Qing LI,Shape Optimization for Additive Manufacturing of Removable Partial Dentures - A New Paradigm for Prosthetic CAD/CAM,2015
Qing LI,Multiobjective crashworthiness optimization of hollow and conical tubes for multiple load cases,2014
Qing LI,"Cuttlebone: characterisation, application and development of biomimetic materials",2012
Qing LI,Radial basis functional model for multi-objective sheet metal forming optimization,2011
Qing LI,Experimental study on low-velocity impact responses and residual properties of composite sandwiches with metallic foam core,2019
Qing LI,A bio-inspired foam-filled multi-cell structural configuration for energy absorption,2022
Qing LI,Biomechanical Investigation into the Role of the Periodontal Ligament in Optimising Orthodontic Force: A Finite Element Case Study,2016
Qing LI,Discrete Topology Optimization of Ply Orientation for a Carbon Fiber Reinforced Plastic (CFRP) Laminate Vehicle Door,2017
Qing LI,Crashworthiness design of foam-filled bitubal structures with uncertainty,2014
Qing LI,Modelling of fracture behaviour in biomaterials,2007
Qing LI,Towards automated 3D finite element modeling of direct fiber reinforced composite dental bridge,2005
Qing LI,On design of graded honeycomb filler and tubal wall thickness for multiple load cases,2016
Qing LI,A comparative study on complete and implant retained denture treatments–A biomechanics perspective,2015
Qing LI,Multiscale design of surface morphological gradient for osseointegration,2013
Qing LI,Comparison of functionally-graded structures under multiple loading angles,2015
Qing LI,Sensitivity analysis and reliability based design optimization for high-strength steel tailor welded thin-walled structures under crashworthiness,2016
Qing LI,A level-set procedure for the design of electromagnetic metamaterials,2010
Qing LI,Phase field fracture in elasto-plastic solids: Variational formulation for multi-surface plasticity and effects of plastic yield surfaces and hardening,2019
Qing LI,"A Novel Bone Substitute with High Bioactivity, Strength and Porosity for Repairing Large and Load-Bearing Bone Defects",2019
Qing LI,Multi-fidelity optimization for sheet metal forming process,2011
Qing LI,Bone remodeling induced by dental implants of functionally graded materials,2010
Qing LI,Evolutionary structural optimization for connection topology design of multi-component systems,2001
Qing LI,Crashworthiness design of multi-component tailor-welded blank (TWB) structures,2013
Qing LI,Prediction of mandibular bone remodelling induced by fixed partial dentures,2010
Qing LI,Evolutionary topology and shape design for general physical field problems,2000
Qing LI,Static and dynamic crushing responses of CFRP sandwich panels filled with different reinforced materials,2017
Qing LI,An experimental and numerical study on quasi-static and dynamic crashing behaviors for tailor rolled blank (TRB) structures,2017
Qing LI,Multiobjective robust optimization for crashworthiness design of foam filled thin-walled structures with random and interval uncertainties,2015
Qing LI,"Quasi-static bending and transverse crushing behaviors for hat-shaped composite tubes made of CFRP, GFRP and their hybrid structures",2020
Qing LI,Nondeterministic optimization of tapered sandwich column for crashworthiness,2018
Qing LI,Experimental study on crashworthiness of tailor-welded blank (TWB) thin-walled high-strength steel (HSS) tubular structures,2014
Qing LI,Thermally induced fracture for core-veneered dental ceramic structures,2013
Qing LI,Design for cost performance of crashworthy structures made of high strength steel,2019
Qing LI,Multiobjective Robust Optimization of Coronary Stents,2016
Qing LI,Comparative study on aluminum/GFRP/CFRP tubes for oblique lateral crushing,2020
Qing LI,Configurational optimization of multi-cell topologies for multiple oblique loads,2018
Qing LI,On crashworthiness of thin-walled multi-cell structures and materials: state of the art and prospects,2023
Qing LI,A stochastic process discretization method combing active learning Kriging model for efficient time-variant reliability analysis,2021
Qing LI,Bending characteristics of top-hat structures through tailor rolled blank (TRB) process,2018
Qing LI,Discrete robust optimization algorithm based on Taguchi method for structural crashworthiness design,2015
Qing LI,On twist springback in advanced high-strength steels,2011
Qing LI,Computational design of multi-phase microstructural materials for extremal conductivity,2008
Qing LI,Multi-material topology optimization for thermal buckling criteria,2019
